onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.717	2	Con	PC50	0.596	1
34.317	2	Con	MC	0.645	1
39.116	2	Con	MC	0.618	1
45.116	2	InCon	MC	0.748	1
48.716	2	Con	MC	0.6745	1
54.715	2	Con	MC	0.6815	1
59.515	2	InCon	PC50	0.682	1
63.114	2	InCon	MC	0.676	1
66.714	2	Con	MC	0.614	1
72.714	2	Con	MC	0.6285	1
77.513	2	InCon	MC	0.7045	1
82.313	2	InCon	MC	0.6625	1
88.312	2	InCon	PC50	0.724	1
93.112	2	Con	PC50	0.5325	1
96.711	2	InCon	MC	0.613	1
100.311	2	Con	MC	0.565	1
105.111	2	Con	MC	0.5185	1
108.71	2	Con	MC	0.521	1
113.51	2	InCon	PC50	0.6035	1
117.11	2	Con	MC	0.59	1
123.109	2	Con	MC	0.555	1
129.109	2	Con	PC50	0.6225	1
135.108	2	InCon	PC50	0.8125	1
139.908	2	Con	MC	0.5945	1
145.907	2	Con	MC	0.595	1
150.707	2	InCon	PC50	0.641	1
155.52	2	Con	MC	0.611	1
160.319	2	InCon	MC	0.627	1
166.319	2	Con	PC50	0.621	1
169.919	2	Con	MC	0.692	1
175.918	2	Con	PC50	0.7	1
181.918	2	InCon	PC50	0.7	1
187.917	2	Con	PC50	0.62	1
192.717	2	Con	MC	0.619	1
196.316	2	Con	MC	0.653	1
199.916	2	Con	MC	0.634	1
233.513	2	Con	MC	0.6445	1
239.513	2	InCon	PC50	0.5725	1
243.112	2	Con	MC	0.548	1
247.912	2	InCon	PC50	0.6565	1
252.712	2	InCon	PC50	0.5645	1
256.311	2	Con	MC	0.582	1
261.111	2	InCon	PC50	0.699	1
265.91	2	Con	MC	0.6095	1
269.51	2	InCon	MC	0.63	1
273.11	2	Con	MC	0.624	1
279.109	2	Con	MC	0.588	1
285.109	2	InCon	PC50	0.6945	1
291.108	2	InCon	MC	0.7005	1
297.108	2	Con	PC50	0.68	1
301.907	2	InCon	PC50	0.743	1
306.707	2	Con	PC50	0.7495	1
310.307	2	Con	MC	0.678	1
315.12	2	InCon	MC	0.782	1
321.119	2	Con	MC	0.7105	1
327.119	2	Con	MC	0.669	1
330.718	2	Con	MC	0.6735	1
335.518	2	Con	PC50	0.5625	1
339.118	2	InCon	MC	0.7215	1
342.717	2	Con	MC	0.636	1
348.717	2	Con	MC	0.689	1
354.716	2	Con	PC50	0.698	1
358.316	2	InCon	MC	0.698	1
363.116	2	Con	MC	0.653	1
369.115	2	InCon	MC	0.668	1
372.715	2	Con	MC	0.6455	1
377.514	2	Con	MC	0.6075	1
382.314	2	Con	MC	0.6005	1
385.914	2	Con	MC	0.6125	1
391.913	2	Con	PC50	0.696	1
396.713	2	Con	MC	0.653	1
402.712	2	Con	PC50	0.5945	1
436.309	2	Con	PC50	0.5695	1
439.909	2	InCon	PC50	0.566	1
444.709	2	Con	MC	0.5555	1
448.308	2	Con	MC	0.5945	1
453.108	2	Con	MC	0.558	1
457.907	2	Con	MC	0.5295	1
462.707	2	Con	MC	0.523	1
466.307	2	Con	MC	0.59	1
472.32	2	Con	MC	0.6765	1
478.319	2	Con	MC	0.674	1
484.319	2	InCon	PC50	0.6745	1
487.918	2	Con	MC	0.653	1
493.918	2	Con	MC	0.601	1
498.717	2	Con	MC	0.548	1
503.517	2	Con	MC	0.5365	1
508.316	2	InCon	PC50	0.66	1
514.316	2	Con	PC50	0.6285	1
520.315	2	Con	PC50	0.615	1
523.915	2	InCon	MC	0.7345	1
528.715	2	InCon	PC50	0.601	1
534.714	2	Con	MC	0.642	1
538.314	2	Con	PC50	0.6905	1
541.914	2	InCon	PC50	0.7895	1
545.513	2	InCon	MC	0.701	1
551.513	2	Con	PC50	0.63	1
557.512	2	Con	MC	0.588	1
561.112	2	InCon	MC	0.7585	1
565.912	2	InCon	PC50	0.6385	1
571.911	2	Con	MC	0.6405	1
575.511	2	InCon	MC	0.679	1
580.31	2	Con	MC	0.5795	1
583.91	2	InCon	MC	0.6835	1
589.91	2	Con	MC	0.6115	1
595.909	2	Con	MC	0.5995	1
600.709	2	InCon	MC	0.781	1
604.308	2	Con	PC50	0.685	1
