onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.717	2	Con	MC	1.1085	1
35.516	2	Con	PC50	1.007	1
39.115	2	InCon	MC	2.057	1
42.715	2	InCon	PC50	2.232	1
48.714	2	InCon	MC	1.597	1
53.513	2	Con	MC	1.205	1
57.113	2	InCon	MC	1.296	1
61.912	2	Con	PC50	1.2375	1
67.927	2	InCon	PC50	1.8185	1
71.527	2	Con	MC	1.2225	1
76.326	2	Con	MC	1.083	1
82.325	2	Con	MC	1.0095	1
88.324	2	Con	MC	1.0675	1
93.123	2	Con	MC	0.8855	1
97.923	2	Con	MC	0.9335	1
101.522	2	InCon	PC50	1.083	1
105.122	2	Con	MC	0.793	1
108.721	2	InCon	PC50	0.967	1
113.52	2	Con	MC	0.794	1
117.12	2	Con	PC50	1.0345	1
123.119	2	Con	MC	1.585	1
129.118	2	Con	MC	0.83	1
133.917	2	Con	MC	0.975	1
139.916	2	Con	PC50	0.922	1
145.915	2	Con	PC50	0.7815	1
150.714	2	InCon	MC	1.0575	1
154.314	2	InCon	PC50	0.953	1
157.913	2	Con	MC	0.8745	1
163.912	2	Con	PC50	0.9745	1
167.512	2	Con	MC	0.8635	1
173.527	2	InCon	MC	1.0205	1
178.327	2	Con	MC	0.9085	1
181.926	2	InCon	MC	1.063	1
187.925	2	InCon	PC50	1.0135	1
193.924	2	Con	MC	1.037	1
198.723	2	Con	MC	0.8135	1
233.518	2	Con	MC	0.8655	1
239.517	2	InCon	MC	1.1545	1
245.516	2	Con	MC	0.8825	1
249.115	2	Con	MC	0.9075	1
255.114	2	Con	PC50	0.563	1
258.714	2	Con	MC	0.7845	1
262.313	2	Con	MC	0.728	1
267.113	2	InCon	PC50	1.06	1
271.912	2	InCon	MC	0.9755	1
275.528	2	InCon	PC50	1.1265	1
280.327	2	InCon	PC50	1.023	1
285.126	2	Con	MC	0.895	1
291.125	2	InCon	MC	0.949	1
297.124	2	Con	MC	0.956	1
300.724	2	Con	MC	0.9405	1
304.323	2	Con	MC	0.8145	1
310.322	2	Con	MC	0.8845	1
315.122	2	InCon	PC50	1.2775	1
319.921	2	Con	MC	0.782	1
324.72	2	Con	MC	0.752	1
330.719	2	Con	PC50	0.9255	1
334.319	2	Con	MC	0.895	1
340.318	2	Con	PC50	0.8785	1
345.117	2	Con	PC50	0.7925	1
348.716	2	Con	MC	0.718	1
352.316	2	Con	MC	0.742	1
358.315	2	InCon	MC	1.8995	1
363.114	2	Con	PC50	1.0455	1
369.113	2	InCon	MC	0.92	1
372.712	2	Con	MC	0.7845	1
377.512	2	InCon	PC50	0.9055	1
382.328	2	Con	MC	0.901	1
385.927	2	InCon	PC50	0.945	1
390.726	2	Con	PC50	0.8445	1
394.326	2	InCon	MC	1.157	1
400.325	2	Con	MC	0.873	1
436.319	2	InCon	MC	0.875	1
442.318	2	InCon	MC	0.853	1
445.918	2	InCon	PC50	0.9825	1
450.717	2	Con	MC	0.8895	1
456.716	2	InCon	MC	1.0705	1
460.315	2	InCon	MC	0.879	1
463.915	2	Con	MC	0.935	1
467.514	2	Con	MC	0.7745	1
473.513	2	Con	MC	0.932	1
478.312	2	Con	MC	0.816	1
484.328	2	Con	PC50	0.896	1
489.127	2	Con	MC	0.82	1
493.927	2	InCon	MC	0.954	1
497.526	2	Con	MC	0.92	1
503.525	2	Con	PC50	0.7965	1
508.324	2	Con	MC	0.789	1
514.323	2	Con	MC	0.8105	1
519.123	2	Con	MC	0.691	1
525.122	2	InCon	PC50	1.144	1
531.121	2	Con	MC	0.7565	1
534.72	2	Con	PC50	1.039	1
539.519	2	InCon	PC50	0.823	1
544.319	2	InCon	PC50	0.8885	1
547.918	2	Con	MC	0.727	1
551.517	2	Con	MC	0.7655	1
555.117	2	InCon	MC	0.907	1
558.716	2	Con	MC	0.783	1
564.715	2	Con	MC	1.054	1
569.515	2	Con	PC50	0.983	1
574.314	2	Con	MC	0.816	1
577.913	2	Con	PC50	0.886	1
581.513	2	Con	PC50	0.8975	1
587.512	2	Con	MC	0.8725	1
592.328	2	Con	MC	0.5935	1
597.127	2	InCon	PC50	1.3575	1
603.126	2	InCon	PC50	0.996	1
