onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.723	2	InCon	PC50	0.8535	1
34.323	2	Con	MC	0.832	1
40.322	2	InCon	MC	1.004	1
45.121	2	Con	MC	0.6595	1
49.92	2	Con	MC	0.8935	1
55.919	2	Con	MC	0.871	1
59.519	2	Con	MC	0.8125	1
65.518	2	Con	MC	0.7105	1
70.317	2	InCon	MC	0.974	1
76.316	2	Con	MC	0.769	1
81.115	2	Con	MC	0.7535	1
84.715	2	Con	MC	0.899	1
88.314	2	InCon	PC50	1.0325	1
91.93	2	InCon	MC	1.0545	1
96.729	2	Con	MC	0.822	1
100.329	2	InCon	PC50	0.933	1
106.328	2	Con	MC	0.9535	1
112.327	2	InCon	MC	1.1365	1
117.126	2	Con	PC50	0.887	1
123.125	2	Con	MC	0.926	1
127.924	2	Con	MC	0.778	1
131.524	2	Con	MC	0.815	1
136.323	2	InCon	PC50	0.958	1
142.322	2	Con	PC50	0.8385	1
145.922	2	Con	MC	0.887	1
150.721	2	InCon	MC	1.24	1
154.32	2	InCon	MC	1.058	1
160.319	2	Con	PC50	0.9175	1
165.119	2	InCon	PC50	0.9605	1
169.918	2	Con	PC50	0.835	1
173.517	2	Con	PC50	1.105	1
179.516	2	Con	MC	1.004	1
183.116	2	Con	MC	0.9355	1
187.915	2	InCon	PC50	1.138	1
193.914	2	Con	MC	1.058	1
199.93	2	Con	PC50	0.964	1
233.524	2	Con	MC	0.7655	1
239.523	2	Con	MC	0.568	1
244.323	2	InCon	PC50	0.928	1
247.922	2	Con	MC	1.0315	1
252.721	2	Con	MC	0.5545	1
256.321	2	Con	MC	0.7015	1
262.32	2	Con	MC	0.7185	1
268.319	2	Con	MC	0.8495	1
273.118	2	Con	PC50	0.9385	1
276.718	2	Con	MC	0.982	1
280.317	2	InCon	MC	1.034	1
285.116	2	InCon	MC	1.3865	1
291.115	2	InCon	MC	0.889	1
294.715	2	Con	PC50	0.974	1
298.314	2	Con	PC50	0.9845	1
304.33	2	Con	MC	1.071	1
309.129	2	InCon	PC50	0.9125	1
313.928	2	Con	PC50	0.937	1
319.927	2	InCon	MC	0.995	1
323.527	2	Con	MC	1.014	1
328.326	2	Con	MC	0.9765	1
334.325	2	InCon	PC50	0.9745	1
339.124	2	Con	MC	0.8385	1
345.123	2	Con	MC	0.6785	1
348.723	2	InCon	PC50	0.9495	1
354.722	2	Con	PC50	0.7905	1
360.721	2	Con	PC50	0.758	1
366.72	2	InCon	PC50	0.8925	0
370.319	2	InCon	PC50	1.164	1
375.119	2	Con	MC	1.057	1
378.718	2	InCon	MC	0.9895	1
384.717	2	Con	MC	1.056	1
388.317	2	Con	MC	0.9275	1
393.116	2	Con	MC	0.8455	1
397.915	2	Con	MC	0.854	1
402.714	2	InCon	MC	1.237	1
436.326	2	Con	MC	0.929	1
439.925	2	InCon	MC	1.0375	1
443.524	2	InCon	MC	1.0105	1
449.523	2	Con	PC50	1.035	1
454.323	2	InCon	PC50	0.8445	1
460.322	2	Con	MC	0.9285	1
465.121	2	Con	PC50	0.898	1
468.72	2	Con	MC	0.747	1
472.32	2	Con	PC50	1.056	1
477.119	2	InCon	PC50	1.1315	1
483.118	2	Con	MC	0.931	1
489.117	2	Con	PC50	1.0785	1
493.916	2	Con	MC	0.91	1
498.716	2	InCon	PC50	0.9765	1
503.515	2	InCon	PC50	0.9235	1
507.114	2	Con	MC	1.165	1
511.914	2	InCon	MC	1.2885	1
515.53	2	Con	PC50	0.9955	1
521.529	2	Con	MC	1.0365	1
527.528	2	Con	MC	1.004	1
532.327	2	Con	MC	1.0365	1
538.326	2	InCon	MC	1.1335	1
541.925	2	Con	MC	1.0515	1
545.525	2	InCon	MC	1.008	1
551.524	2	Con	MC	1.1635	1
555.123	2	Con	MC	1.0895	1
559.923	2	Con	MC	1.0225	1
564.722	2	InCon	MC	1.2125	1
570.721	2	InCon	PC50	0.9035	1
574.32	2	Con	MC	0.919	1
579.12	2	Con	PC50	0.9335	1
583.919	2	InCon	PC50	0.825	1
587.518	2	Con	MC	0.954	1
591.118	2	Con	MC	0.93	1
597.117	2	Con	MC	0.919	1
603.116	2	Con	MC	0.943	1
