onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.722	2	Con	PC50	0.827	1
35.522	2	Con	PC50	0.705	1
41.522	2	InCon	MC	0.706	1
47.522	2	Con	MC	0.6105	1
53.522	2	InCon	MC	0.8455	1
58.322	2	Con	MC	0.569	1
63.122	2	Con	PC50	0.63	1
66.722	2	Con	MC	0.5635	1
70.322	2	Con	MC	0.6275	1
73.921	2	InCon	MC	0.634	0
77.521	2	Con	MC	0.724	1
82.321	2	Con	MC	0.6215	1
88.321	2	Con	PC50	0.769	1
94.321	2	InCon	MC	0.8155	1
99.121	2	Con	MC	0.61	1
103.921	2	Con	MC	0.641	1
107.521	2	InCon	MC	0.687	1
112.321	2	Con	MC	0.6425	1
115.921	2	Con	PC50	0.7255	1
120.72	2	InCon	PC50	0.698	1
126.72	2	Con	MC	0.628	1
132.72	2	InCon	PC50	0.6445	1
136.32	2	InCon	PC50	0.724	1
139.92	2	InCon	PC50	0.594	1
145.92	2	InCon	MC	0.6335	1
150.72	2	Con	MC	0.618	1
154.32	2	Con	MC	0.7285	1
159.12	2	Con	MC	0.613	1
165.12	2	Con	MC	0.687	1
169.919	2	Con	MC	0.6975	1
173.519	2	Con	PC50	0.6515	1
178.319	2	Con	MC	0.6635	1
181.919	2	InCon	PC50	0.798	1
185.519	2	InCon	PC50	0.732	1
191.519	2	Con	MC	0.626	1
197.519	2	Con	MC	0.5765	1
233.518	2	Con	MC	0.7495	1
238.318	2	InCon	PC50	0.6035	1
244.318	2	Con	PC50	0.619	1
247.918	2	Con	MC	0.7245	1
251.518	2	InCon	PC50	0.712	1
255.118	2	Con	MC	0.7	1
259.918	2	Con	MC	0.612	1
265.918	2	Con	MC	0.591	1
270.717	2	Con	MC	0.632	1
276.717	2	InCon	PC50	0.756	1
282.717	2	Con	PC50	0.6475	1
287.517	2	Con	MC	0.6355	1
291.117	2	Con	MC	0.736	1
295.917	2	Con	MC	0.559	1
300.717	2	InCon	MC	0.6825	1
305.517	2	InCon	PC50	0.5975	1
309.117	2	Con	MC	0.618	1
312.717	2	InCon	MC	0.7305	1
318.716	2	Con	MC	0.7505	1
322.316	2	Con	PC50	0.6025	1
328.316	2	InCon	PC50	0.674	1
333.116	2	Con	PC50	0.584	1
336.716	2	Con	PC50	0.6275	1
342.716	2	Con	MC	0.714	1
348.716	2	InCon	MC	0.891	1
354.716	2	Con	MC	0.535	1
358.316	2	Con	MC	0.599	1
361.916	2	Con	MC	0.617	1
365.515	2	InCon	MC	1.0245	1
370.315	2	Con	PC50	0.7065	1
376.315	2	InCon	MC	0.7335	1
379.915	2	InCon	MC	0.701	1
384.715	2	InCon	PC50	0.693	1
389.515	2	Con	MC	0.6985	1
395.515	2	Con	MC	0.7125	1
401.515	2	Con	MC	0.724	1
436.314	2	Con	MC	0.8055	1
439.914	2	Con	PC50	0.723	1
444.714	2	InCon	MC	0.6695	1
450.714	2	Con	PC50	0.671	1
456.714	2	Con	MC	0.593	1
461.514	2	Con	MC	0.6425	1
465.113	2	Con	MC	0.6875	1
471.113	2	Con	PC50	0.696	1
477.113	2	Con	MC	0.6695	1
481.913	2	Con	MC	0.7215	1
485.513	2	Con	MC	0.7185	1
489.113	2	Con	PC50	0.599	1
493.913	2	Con	MC	0.6865	1
499.913	2	InCon	MC	0.78	1
503.513	2	Con	MC	0.68	1
508.313	2	Con	MC	0.6675	1
513.112	2	Con	PC50	0.6155	1
519.112	2	InCon	PC50	0.706	1
523.912	2	Con	MC	0.676	1
527.512	2	InCon	PC50	0.714	1
533.512	2	InCon	MC	0.759	1
539.512	2	Con	MC	0.671	1
543.112	2	InCon	MC	0.8505	0
547.912	2	Con	PC50	0.7305	1
551.512	2	Con	MC	0.7155	1
556.312	2	InCon	MC	0.682	1
562.311	2	InCon	PC50	0.665	1
567.111	2	InCon	PC50	0.654	1
570.711	2	Con	MC	0.8585	1
574.311	2	Con	MC	0.7775	1
579.111	2	InCon	PC50	0.64	1
585.111	2	Con	MC	0.7295	1
591.111	2	Con	MC	0.6435	1
597.111	2	InCon	MC	0.7215	1
601.911	2	InCon	PC50	0.7055	1
605.511	2	Con	MC	0.7125	1
