onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.711	2	Con	MC	0.732	1
36.711	2	Con	MC	0.6725	1
41.511	2	InCon	PC50	0.753	1
46.311	2	Con	MC	0.5925	1
52.31	2	Con	MC	0.6235	1
55.91	2	Con	MC	0.647	1
59.51	2	Con	MC	0.648	1
64.31	2	Con	MC	0.5535	1
70.31	2	Con	MC	0.629	1
76.31	2	InCon	MC	0.789	1
79.91	2	Con	MC	0.6175	1
83.51	2	InCon	PC50	0.7165	1
88.31	2	Con	MC	0.628	1
94.31	2	Con	MC	0.6075	1
97.91	2	Con	MC	0.6515	1
101.523	2	Con	MC	0.6065	1
106.323	2	InCon	PC50	0.7095	1
112.323	2	InCon	MC	0.8565	1
118.322	2	InCon	MC	0.712	1
121.922	2	Con	PC50	0.678	1
125.522	2	InCon	MC	0.7935	1
130.322	2	InCon	MC	0.6785	1
135.122	2	Con	PC50	0.6865	1
139.922	2	Con	MC	0.6735	1
145.922	2	InCon	PC50	0.7045	1
151.922	2	Con	PC50	0.7125	1
155.522	2	Con	MC	0.632	1
159.122	2	InCon	PC50	0.691	1
163.921	2	Con	MC	0.7575	1
167.521	2	Con	MC	0.8705	1
173.521	2	InCon	PC50	0.62	1
179.521	2	InCon	MC	0.697	1
184.321	2	Con	PC50	0.536	1
189.121	2	Con	PC50	0.573	1
192.721	2	Con	MC	0.64	1
197.521	2	Con	PC50	0.6085	1
233.52	2	InCon	MC	0.733	1
237.12	2	Con	MC	0.583	1
241.92	2	Con	PC50	0.573	1
246.72	2	InCon	PC50	0.6365	1
250.32	2	InCon	MC	0.758	1
256.32	2	Con	PC50	0.627	1
259.92	2	InCon	PC50	0.714	1
263.519	2	InCon	PC50	0.633	1
269.519	2	Con	PC50	0.5865	1
275.519	2	Con	MC	0.573	1
280.319	2	InCon	MC	0.812	1
285.119	2	Con	MC	0.619	1
291.119	2	InCon	MC	0.6245	1
295.919	2	InCon	MC	0.693	1
301.919	2	Con	MC	0.6845	1
306.719	2	Con	MC	0.7035	1
312.718	2	Con	MC	0.6105	1
316.318	2	Con	MC	0.6685	1
319.918	2	Con	PC50	0.5955	1
325.918	2	Con	MC	0.641	1
329.518	2	Con	MC	0.619	1
335.518	2	Con	MC	0.666	1
339.118	2	Con	MC	0.6845	1
343.918	2	Con	MC	0.598	1
348.718	2	InCon	PC50	0.7355	1
354.718	2	InCon	MC	0.6825	1
359.517	2	Con	MC	0.601	1
364.317	2	InCon	PC50	0.6505	1
370.317	2	Con	MC	0.699	1
373.917	2	Con	MC	0.604	1
377.517	2	Con	PC50	0.6835	1
382.317	2	InCon	PC50	0.651	1
385.917	2	Con	MC	0.6815	1
391.917	2	Con	MC	0.7365	1
397.917	2	Con	MC	0.6815	1
401.517	2	Con	PC50	0.6825	1
436.316	2	Con	MC	0.6335	1
442.316	2	Con	MC	0.555	1
448.316	2	Con	MC	0.567	1
451.916	2	InCon	PC50	0.644	1
456.716	2	InCon	PC50	0.653	1
462.715	2	Con	MC	0.6105	1
466.315	2	Con	MC	0.6145	1
471.115	2	Con	MC	0.6185	1
475.915	2	Con	PC50	0.5565	1
481.915	2	Con	MC	0.593	1
485.515	2	Con	PC50	0.6145	1
490.315	2	Con	MC	0.6245	1
493.915	2	Con	MC	0.583	1
499.915	2	InCon	MC	0.7385	1
505.915	2	InCon	PC50	0.693	1
511.914	2	Con	MC	0.6465	1
516.714	2	Con	MC	0.641	1
520.314	2	InCon	MC	0.684	1
523.914	2	InCon	MC	0.6985	1
529.914	2	Con	PC50	0.6435	1
533.514	2	Con	MC	0.635	1
538.314	2	Con	MC	0.6095	1
543.114	2	InCon	MC	0.7705	1
547.914	2	Con	MC	0.5055	1
551.514	2	Con	MC	0.6525	1
557.513	2	Con	MC	0.668	1
561.113	2	InCon	PC50	0.6835	1
565.913	2	Con	PC50	0.6535	1
569.513	2	InCon	MC	0.624	0
573.113	2	Con	MC	0.6725	1
577.913	2	InCon	PC50	0.674	1
583.913	2	Con	MC	0.718	1
588.713	2	Con	PC50	0.6385	1
593.513	2	InCon	MC	0.7495	1
599.513	2	Con	PC50	0.6645	1
603.113	2	InCon	PC50	1.4265	1
