onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.717	2	Con	MC	0.7325	1
34.317	2	Con	MC	0.6765	1
40.317	2	InCon	MC	1.017	1
45.117	2	InCon	MC	0.953	1
48.717	2	InCon	MC	0.866	1
52.317	2	Con	PC50	0.7755	1
57.116	2	Con	MC	0.7765	1
63.116	2	Con	MC	0.7815	1
67.916	2	Con	PC50	0.752	1
72.716	2	InCon	PC50	0.9095	1
78.716	2	InCon	PC50	0.794	1
82.316	2	Con	MC	0.6325	1
88.316	2	Con	MC	0.8665	1
91.916	2	Con	MC	0.6035	1
96.716	2	Con	MC	0.692	1
101.516	2	Con	MC	0.6485	1
107.516	2	Con	MC	0.641	1
113.515	2	InCon	PC50	0.943	1
119.515	2	Con	MC	0.749	1
124.315	2	InCon	MC	0.899	1
127.915	2	Con	MC	0.7205	1
131.515	2	InCon	PC50	0.8785	1
136.315	2	Con	MC	0.7535	1
142.315	2	InCon	PC50	1.0615	1
145.915	2	Con	MC	0.6935	1
149.515	2	Con	MC	0.5555	1
153.115	2	InCon	PC50	0.8695	1
159.115	2	InCon	MC	0.853	1
163.915	2	Con	MC	0.755	1
169.914	2	Con	MC	0.838	1
175.914	2	Con	PC50	0.6815	1
180.714	2	Con	PC50	0.6855	1
184.314	2	Con	PC50	0.753	1
189.114	2	Con	PC50	0.6135	1
192.714	2	InCon	MC	1.0145	1
197.514	2	Con	MC	0.6805	1
233.513	2	Con	PC50	0.7715	1
238.313	2	Con	PC50	0.7985	1
241.913	2	InCon	MC	0.9625	1
246.713	2	Con	MC	0.5625	1
252.713	2	Con	MC	0.656	1
256.313	2	InCon	MC	0.911	1
261.113	2	Con	MC	0.556	1
267.113	2	Con	MC	0.646	1
273.113	2	Con	MC	0.7805	1
277.913	2	Con	MC	0.6705	1
281.513	2	Con	MC	0.6035	1
287.512	2	InCon	MC	0.863	1
291.112	2	Con	PC50	0.712	1
297.112	2	Con	MC	0.629	1
301.912	2	Con	MC	0.7775	1
307.912	2	Con	MC	0.6195	1
311.512	2	Con	PC50	0.6505	1
316.312	2	InCon	MC	0.767	1
321.112	2	InCon	MC	1.177	1
324.712	2	Con	PC50	0.7225	1
329.512	2	Con	MC	0.6745	1
335.512	2	Con	MC	0.7775	1
339.112	2	Con	MC	0.652	1
342.711	2	Con	MC	0.682	1
348.711	2	InCon	PC50	0.913	1
352.311	2	Con	MC	0.7685	1
355.911	2	Con	MC	0.7345	1
361.911	2	InCon	PC50	0.942	1
365.511	2	InCon	PC50	0.9945	1
371.511	2	InCon	PC50	0.9535	1
377.511	2	InCon	PC50	1.1165	1
382.311	2	InCon	MC	0.967	1
387.111	2	InCon	PC50	0.933	1
391.911	2	Con	MC	0.765	1
395.511	2	Con	PC50	0.741	1
400.324	2	Con	MC	0.917	1
436.323	2	Con	MC	2.1245	1
439.923	2	InCon	PC50	0.971	1
444.723	2	Con	PC50	0.907	1
449.523	2	InCon	MC	1.028	1
454.323	2	Con	MC	0.949	1
457.923	2	Con	MC	0.915	1
462.723	2	InCon	MC	1.2545	1
468.723	2	Con	MC	0.9075	1
472.323	2	Con	PC50	0.778	1
478.322	2	InCon	MC	0.972	1
484.322	2	InCon	MC	0.9535	1
487.922	2	InCon	MC	0.9185	1
493.922	2	Con	MC	0.947	1
498.722	2	Con	PC50	n/a	1
502.322	2	Con	MC	0.5745	1
507.122	2	InCon	PC50	0.9385	1
513.122	2	Con	PC50	0.8475	1
519.122	2	InCon	PC50	0.85	1
522.722	2	InCon	PC50	1.125	1
526.322	2	Con	MC	0.7205	1
532.322	2	Con	MC	0.723	1
537.121	2	Con	PC50	0.9035	1
541.921	2	Con	MC	0.6305	1
547.921	2	InCon	PC50	0.93	1
551.521	2	Con	MC	0.8795	1
557.521	2	Con	MC	0.791	1
562.321	2	InCon	MC	0.945	1
565.921	2	Con	PC50	0.9215	1
570.721	2	Con	MC	0.7735	1
576.721	2	Con	MC	0.866	1
580.321	2	Con	MC	0.539	1
586.321	2	Con	MC	0.9325	1
591.12	2	Con	MC	0.7835	1
597.12	2	InCon	PC50	0.92	1
600.72	2	Con	MC	0.9105	1
605.52	2	Con	MC	0.5435	1
