onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.724	2	Con	MC	0.7725	1
35.524	2	Con	MC	0.7635	1
41.524	2	InCon	PC50	1.3515	1
47.524	2	Con	MC	0.888	1
53.524	2	Con	PC50	0.851	1
58.323	2	InCon	PC50	0.948	1
61.923	2	Con	PC50	0.8015	1
65.523	2	Con	MC	0.703	1
70.323	2	Con	PC50	0.685	1
73.923	2	Con	PC50	0.851	1
79.923	2	InCon	MC	0.9805	1
83.523	2	InCon	PC50	1.0885	1
88.323	2	Con	MC	0.7855	1
91.923	2	Con	MC	0.7655	1
97.923	2	Con	MC	0.8515	1
101.523	2	Con	MC	0.699	1
105.123	2	Con	MC	0.804	1
108.723	2	Con	MC	0.6965	1
114.723	2	InCon	PC50	1.009	1
119.522	2	Con	MC	0.725	1
125.522	2	InCon	PC50	1.161	1
131.522	2	InCon	MC	1.0755	1
136.322	2	InCon	MC	0.9315	1
141.122	2	InCon	MC	1.0065	1
145.922	2	Con	MC	0.7815	1
151.922	2	Con	MC	0.9295	1
156.722	2	Con	PC50	0.817	1
160.322	2	Con	MC	0.643	1
166.322	2	InCon	MC	0.985	1
172.322	2	Con	MC	0.757	1
177.121	2	Con	MC	0.9335	1
181.921	2	Con	MC	0.947	1
185.521	2	InCon	MC	1.013	0
190.321	2	Con	MC	0.736	1
193.921	2	Con	PC50	0.7245	1
199.921	2	InCon	PC50	0.8245	1
233.52	2	Con	MC	0.8715	1
239.52	2	Con	PC50	0.9505	1
245.52	2	Con	MC	0.68	1
251.52	2	Con	MC	0.6595	1
255.12	2	InCon	PC50	0.995	1
258.72	2	Con	MC	0.886	1
263.52	2	Con	MC	0.6955	1
268.32	2	Con	MC	0.816	1
271.92	2	Con	MC	1.1245	1
276.72	2	InCon	MC	0.8855	1
280.32	2	InCon	PC50	1.0885	1
286.32	2	InCon	MC	1.928	1
291.119	2	Con	PC50	0.8165	1
297.119	2	InCon	MC	0.9345	1
301.919	2	Con	MC	0.7145	1
306.719	2	Con	PC50	0.9255	1
312.719	2	Con	MC	0.921	1
316.319	2	Con	MC	0.7015	1
321.119	2	Con	PC50	0.7195	1
327.119	2	Con	PC50	0.714	1
330.719	2	Con	MC	0.745	1
336.719	2	Con	MC	0.8695	1
340.319	2	Con	MC	0.7495	1
345.119	2	Con	MC	0.743	1
348.718	2	Con	MC	0.7125	1
353.518	2	Con	PC50	0.7195	1
357.118	2	Con	MC	0.8435	1
361.918	2	InCon	PC50	0.8825	1
367.918	2	InCon	PC50	0.9125	1
373.918	2	InCon	PC50	0.971	1
379.918	2	InCon	MC	0.9895	1
383.518	2	Con	MC	0.7255	1
387.118	2	Con	MC	0.678	1
390.718	2	InCon	PC50	0.858	1
396.718	2	InCon	MC	0.903	1
401.518	2	InCon	MC	1.004	1
436.317	2	InCon	MC	0.9355	1
439.917	2	Con	MC	0.7365	1
445.917	2	Con	PC50	0.791	1
449.517	2	Con	MC	0.737	1
454.317	2	InCon	PC50	0.851	1
457.917	2	InCon	PC50	1.194	1
461.516	2	Con	MC	0.6965	1
467.516	2	Con	MC	1.084	1
472.316	2	Con	MC	1.207	1
477.116	2	Con	MC	0.6945	1
483.116	2	Con	MC	0.785	1
489.116	2	Con	MC	0.7225	1
493.916	2	Con	PC50	1.494	1
498.716	2	Con	MC	0.492	1
502.316	2	InCon	PC50	0.8575	1
505.916	2	Con	PC50	0.6845	1
511.916	2	Con	PC50	0.7015	1
516.716	2	Con	MC	0.6575	1
522.729	2	Con	PC50	0.7535	1
526.329	2	Con	MC	0.689	1
531.129	2	Con	MC	0.6335	1
537.128	2	Con	MC	0.7845	1
543.128	2	InCon	MC	0.8725	1
546.728	2	Con	MC	1.0285	1
551.528	2	InCon	MC	0.884	1
557.528	2	InCon	PC50	0.9165	1
561.128	2	InCon	MC	1.038	1
564.728	2	InCon	MC	1.0075	1
569.528	2	Con	PC50	1.033	1
574.328	2	Con	MC	0.8645	1
579.128	2	Con	MC	0.9285	1
583.928	2	InCon	PC50	1.433	1
587.528	2	Con	MC	0.774	1
593.528	2	Con	MC	0.6855	1
599.527	2	InCon	MC	1.6235	0
603.127	2	InCon	PC50	1.093	1
