onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.705	2	Con	PC50	0.9485	1
36.72	2	Con	MC	0.9115	1
42.719	2	InCon	MC	1.0875	1
47.519	2	Con	MC	1.036	1
52.318	2	Con	PC50	0.774	1
57.117	2	InCon	MC	0.907	1
61.916	2	InCon	PC50	1.338	1
65.516	2	Con	MC	0.7475	1
71.515	2	Con	PC50	0.845	1
75.114	2	Con	MC	0.8055	1
78.714	2	Con	PC50	0.6725	1
84.713	2	Con	PC50	0.6795	1
88.312	2	InCon	PC50	1.042	1
94.311	2	Con	MC	0.5795	1
97.91	2	InCon	MC	0.8785	1
102.71	2	InCon	PC50	1.1025	1
107.509	2	InCon	MC	1.9335	1
111.108	2	Con	MC	0.7725	1
117.107	2	Con	MC	0.7635	1
123.106	2	Con	MC	0.717	1
126.706	2	Con	MC	0.868	1
130.305	2	InCon	PC50	1.0575	1
135.121	2	Con	MC	0.846	1
139.92	2	InCon	MC	0.8815	1
145.919	2	Con	MC	1.265	1
151.918	2	Con	MC	0.652	1
157.917	2	Con	MC	0.69	1
161.517	2	Con	MC	0.841	1
166.316	2	Con	MC	0.9375	1
171.115	2	Con	MC	0.868	1
174.715	2	Con	PC50	0.923	1
178.314	2	InCon	PC50	1.0615	1
184.313	2	InCon	MC	1.07	1
189.112	2	Con	MC	0.7015	1
193.912	2	Con	MC	0.9655	1
199.911	2	InCon	PC50	1.2695	1
233.505	2	Con	MC	0.8415	1
239.521	2	Con	MC	0.798	1
244.32	2	InCon	PC50	1.0445	1
250.319	2	Con	MC	0.762	1
253.919	2	InCon	PC50	0.99	1
259.918	2	Con	MC	0.8065	1
264.717	2	InCon	MC	1.038	1
269.516	2	Con	MC	0.804	1
273.116	2	Con	PC50	0.6755	1
276.715	2	Con	MC	0.59	1
281.514	2	Con	PC50	0.8355	1
287.513	2	Con	MC	0.593	1
291.113	2	Con	MC	0.6235	1
297.112	2	Con	MC	0.8325	1
300.711	2	InCon	PC50	0.532	0
306.71	2	InCon	MC	1.1015	1
310.31	2	Con	MC	0.9665	unintelligible
315.109	2	Con	PC50	0.811	1
321.108	2	Con	PC50	0.762	1
324.707	2	Con	MC	0.905	1
329.507	2	InCon	MC	0.986	1
335.506	2	Con	MC	0.698	1
339.105	2	InCon	PC50	1.051	1
343.921	2	Con	PC50	0.872	1
348.72	2	InCon	MC	0.9165	1
352.32	2	Con	MC	0.8815	1
355.919	2	Con	MC	0.6205	1
361.918	2	Con	MC	0.688	1
366.717	2	InCon	MC	1.2695	1
370.317	2	InCon	PC50	0.9145	1
376.316	2	Con	PC50	0.9975	1
382.315	2	Con	MC	0.7115	1
388.314	2	InCon	PC50	0.8175	0
393.113	2	Con	MC	0.9735	1
397.912	2	Con	MC	0.737	1
402.712	2	InCon	MC	1.2215	1
436.306	2	InCon	MC	0.6325	1
439.906	2	Con	MC	0.878	1
444.705	2	Con	MC	0.5825	1
449.521	2	InCon	MC	1.3575	1
454.32	2	Con	MC	1.2685	1
460.319	2	InCon	MC	0.8675	1
463.918	2	InCon	MC	0.6665	1
469.917	2	Con	MC	0.6505	1
474.717	2	Con	MC	0.5965	1
480.716	2	Con	MC	0.935	1
486.715	2	Con	PC50	0.819	1
490.314	2	Con	MC	1.6555	1
493.914	2	Con	PC50	0.7065	1
497.513	2	Con	PC50	0.8105	1
503.512	2	InCon	PC50	1.097	1
509.511	2	InCon	PC50	0.874	0
514.31	2	InCon	PC50	0.78	1
517.91	2	Con	MC	1.09	1
523.909	2	Con	PC50	1.299	1
527.508	2	InCon	PC50	1.0625	1
532.307	2	Con	MC	0.9565	1
537.107	2	Con	MC	1.1575	1
543.106	2	Con	MC	0.8155	1
546.705	2	Con	PC50	0.555	1
551.521	2	InCon	PC50	1.068	1
557.52	2	InCon	MC	0.7935	1
562.319	2	InCon	MC	1.1845	1
567.119	2	Con	MC	1.0995	1
570.718	2	Con	MC	0.793	1
574.317	2	Con	MC	0.638	1
577.917	2	Con	MC	0.5825	1
581.516	2	InCon	PC50	1.044	1
586.315	2	Con	MC	0.9385	1
592.315	2	Con	MC	0.5065	1
598.314	2	Con	PC50	0.9385	1
603.113	2	Con	MC	0.726	1
