onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.715	2	InCon	MC	1.3265	1
34.314	2	Con	MC	0.759	1
40.33	2	Con	MC	0.7425	1
43.929	2	Con	MC	0.5615	1
49.929	2	Con	PC50	0.6575	1
55.928	2	Con	MC	0.735	1
60.727	2	Con	MC	0.984	1
65.526	2	Con	MC	1.0075	1
69.125	2	Con	MC	0.679	1
73.925	2	InCon	MC	0.9415	1
78.724	2	InCon	PC50	1.1445	1
84.723	2	Con	MC	0.561	1
88.322	2	Con	PC50	0.9	1
93.122	2	Con	MC	0.899	1
97.921	2	InCon	MC	0.8145	1
101.52	2	Con	MC	0.527	1
106.319	2	Con	MC	0.783	1
109.919	2	InCon	PC50	0.87	1
114.718	2	Con	PC50	0.7655	1
120.717	2	InCon	MC	0.967	1
124.317	2	Con	PC50	0.598	1
130.316	2	Con	MC	0.7835	1
133.915	2	Con	PC50	1.1725	1
139.914	2	InCon	MC	0.932	1
145.93	2	InCon	MC	1.116	1
151.929	2	InCon	PC50	1.197	1
155.528	2	InCon	PC50	1.185	1
161.527	2	InCon	PC50	0.862	1
166.327	2	Con	MC	0.9425	1
172.326	2	Con	MC	0.7555	1
177.125	2	Con	MC	0.877	1
183.124	2	InCon	PC50	1.067	1
186.723	2	Con	MC	0.9605	1
190.323	2	Con	PC50	0.5545	1
195.122	2	Con	MC	0.69	1
199.921	2	Con	MC	0.7465	1
233.516	2	Con	PC50	0.81	1
239.515	2	Con	PC50	0.6355	1
243.114	2	Con	MC	0.8355	1
247.93	2	InCon	PC50	1.4095	1
252.729	2	InCon	PC50	0.959	1
258.728	2	InCon	MC	1.627	1
263.528	2	InCon	PC50	1.0315	1
269.527	2	Con	MC	0.6445	1
273.126	2	Con	MC	0.654	1
276.725	2	Con	MC	0.8385	1
280.325	2	Con	MC	0.763	1
286.324	2	Con	MC	0.6245	1
291.123	2	InCon	MC	1.0815	1
295.922	2	InCon	MC	1.666	0
300.722	2	Con	MC	0.723	1
304.321	2	InCon	MC	0.811	1
310.32	2	Con	MC	0.6915	1
313.92	2	Con	MC	0.7435	1
318.719	2	Con	MC	0.781	1
323.518	2	Con	PC50	0.8655	1
327.117	2	Con	MC	0.6445	1
333.116	2	Con	PC50	0.6045	1
336.716	2	Con	MC	0.591	1
342.715	2	InCon	MC	1.165	1
348.714	2	Con	MC	0.7395	1
354.73	2	InCon	PC50	0.973	1
360.729	2	Con	MC	1.2785	unintelligible
364.328	2	Con	MC	0.6585	1
370.327	2	InCon	MC	0.9845	1
373.927	2	Con	MC	0.675	1
377.526	2	InCon	PC50	1.0045	1
382.325	2	InCon	PC50	0.975	1
387.124	2	Con	PC50	0.8165	1
391.924	2	Con	PC50	1.177	1
396.723	2	Con	MC	0.85	1
402.722	2	Con	MC	0.775	1
436.317	2	InCon	MC	1.2415	1
439.916	2	Con	PC50	0.6565	1
444.715	2	Con	MC	0.848	1
450.714	2	Con	MC	0.649	1
456.73	2	Con	MC	0.586	1
462.729	2	Con	MC	0.6315	1
467.528	2	Con	PC50	0.731	1
471.128	2	InCon	MC	0.6225	0
475.927	2	Con	PC50	0.968	1
479.526	2	Con	MC	0.558	1
484.326	2	InCon	PC50	0.9715	0
487.925	2	InCon	PC50	1.0435	1
493.924	2	Con	MC	0.6475	1
499.923	2	Con	PC50	0.8355	1
505.922	2	Con	PC50	0.75	1
510.721	2	Con	PC50	0.794	1
515.521	2	Con	MC	0.8195	1
520.32	2	InCon	PC50	0.7315	0
523.919	2	InCon	MC	1.708	1
527.519	2	InCon	PC50	0.7675	1
533.518	2	Con	MC	0.914	1
537.117	2	Con	MC	0.537	1
543.116	2	Con	MC	0.7205	1
546.716	2	Con	MC	0.612	1
551.515	2	Con	MC	0.8675	1
555.114	2	InCon	MC	1.527	1
561.13	2	Con	MC	0.8575	1
565.929	2	Con	MC	0.91	1
571.928	2	InCon	MC	0.823	1
576.727	2	Con	MC	0.5455	1
582.726	2	Con	MC	0.679	1
587.526	2	Con	MC	0.92	1
591.125	2	InCon	MC	0.964	1
595.924	2	InCon	PC50	1.427	1
599.524	2	Con	MC	0.7365	1
605.523	2	InCon	PC50	1.172	1
